onset	duration	trial_type
4.01193362495906	14.4	Letters_Left
18.4018104865427	14.4	Letters_Right
32.8082022309827	14.4	Nonsense_Left
47.2146076330573	14.4	Nonsense_Right
61.5096560001803	14.4	Null
76.0109012428911	14.4	Letters_Left
90.4175096604558	14.4	Letters_Right
104.807296157858	14.4	Nonsense_Right
119.213928483437	14.4	Nonsense_Left
133.508264878077	14.4	Null
148.010178734672	14.4	Nonsense_Left
162.416715022984	14.4	Letters_Left
176.806688732275	14.4	Nonsense_Right
191.213119258024	14.4	Letters_Right
205.507565062209	14.4	Null
220.009609057284	14.4	Letters_Left
234.415969822414	14.4	Nonsense_Right
248.805764424229	14.4	Letters_Right
263.212427141345	14.4	Nonsense_Left
277.506803652817	14.4	Null
292.008679823906	14.4	Letters_Right
306.415242856772	14.4	Letters_Left
320.805056503952	14.4	Nonsense_Left
335.211692476514	14.4	Nonsense_Right
349.506099379527	14.4	Null
364.008028634504	14.4	Letters_Right
378.414539799138	14.4	Nonsense_Right
392.80436155073	14.4	Letters_Left
407.210854480443	14.4	Nonsense_Left
421.505351747634	14.4	Null
